Qualification,Experience,Rating,Profile,Fees,Number_degrees_diploma_certificate,Qual_unknown,Qual_BDS,Qual_BHMS,Qual_BAMS,Qual_MBBS,Qual_MS,Qual_MD,Qual_MDS,Qual_DIPLOMA,Qual_PHD,Qual_others,Area,City,Number_Feedback,Approx_Fees,Misc_Info,Area_Codes,City_Bangalore,City_Chennai,City_Coimbatore,City_Delhi,City_Ernakulam,City_Hyderabad,City_Mumbai,City_Sector 5,City_Thiruvananthapuram,City_Unknown,Profile_Ayurveda,Profile_Dentist,Profile_Dermatologists,Profile_ENT Specialist,Profile_General Medicine,Profile_Homeopath
"MBBS, Diploma in Dermatology, DNB - Dermatology & Venereology",26,0,Dermatologists,400,3,0,0,0,0,1,0,0,0,1,0,0,Ayanavaram,Chennai,0,0,0,48,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics, Certificate in Cosmetic Dentistry, Fellow of Academy of General Education (FAGE)",7,100,Dentist,300,4,0,1,0,0,0,1,1,1,0,0,0,Saket,Delhi,0,0,1,734,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"BAMS, MS - Counselling and Psychotherapy",9,0,Ayurveda,150,2,0,0,0,1,0,1,0,0,0,0,0,Vidyaranyapura,Bangalore,0,0,0,894,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BAMS,0,0,Ayurveda,200,1,0,0,0,1,0,1,0,0,0,0,0,Mogappair,Chennai,0,0,0,516,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BHMS, MD - Homeopathy",24,0,Homeopath,100,2,0,0,1,0,0,1,1,0,0,0,0,Rajouri Garden,Delhi,0,0,0,685,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"MBBS, MS - General Surgery, MCh - Oncology, MNAMS - General Surgery",44,94,General Medicine,500,4,0,0,0,0,1,1,0,0,0,0,0,Jayanagar,Bangalore,13,0,1,297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BDS, MDS - Paedodontics And Preventive Dentistry",10,100,Dentist,300,2,0,1,0,0,0,1,1,1,0,0,0,Chembur East,Mumbai,0,0,1,122,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
MBBS,20,0,General Medicine,600,1,0,0,0,0,1,0,0,0,0,0,0,Powai,Mumbai,0,0,1,660,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"BAMS, MD - Ayurveda Medicine",16,0,Ayurveda,300,2,0,0,0,1,0,1,1,0,0,0,0,Jubilee Hills,Hyderabad,0,0,0,311,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
BHMS,6,0,Homeopath,500,1,0,0,1,0,0,1,0,0,0,0,0,Mazgaon,Mumbai,0,0,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"MBBS, MS - ENT",8,0,ENT Specialist,250,2,0,0,0,0,1,1,0,0,0,0,0,Kukatpally,Hyderabad,0,0,0,420,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
BDS,19,0,Dentist,200,1,0,1,0,0,0,0,0,0,0,0,0,SR Nagar,Hyderabad,0,0,1,722,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"MBBS, Post Graduate Diploma in Diabetology (PGDD)",33,0,General Medicine,200,2,0,0,0,0,1,0,0,0,1,0,0,Purasawakkam,Chennai,0,0,0,668,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BDS, MDS - Paedodontics And Preventive Dentistry",9,97,Dentist,100,2,0,1,0,0,0,1,1,1,0,0,0,Tatabad,Coimbatore,2,0,1,827,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"BDS, MDS - Oral & Maxillofacial Surgery",22,100,Dentist,300,2,0,1,0,0,0,1,1,1,0,0,0,Porur,Chennai,0,0,1,658,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MBBS,27,0,General Medicine,400,1,0,0,0,0,1,0,0,0,0,0,0,Borivali West,Mumbai,0,0,1,98,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"MD - Dermatology , Venereology & Leprosy, MBBS",8,96,Dermatologists,700,3,0,0,0,0,1,0,1,0,0,0,0,Malad West,Mumbai,13,0,1,471,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"MBBS, MD - Medicine, Diploma in Geriatric Medicine",16,94,General Medicine,100,3,0,0,0,0,1,0,1,0,1,0,0,Panchsheel Park,Delhi,0,0,1,612,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"MBBS, MS - ENT",11,90,ENT Specialist,500,2,0,0,0,0,1,1,0,0,0,0,0,Malleswaram,Bangalore,0,0,1,476,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"MBBS, DVD, DNB - Dermatology & Venereology",17,90,General Medicine,500,3,0,0,0,0,1,0,0,0,1,0,0,HRBR Layout,Bangalore,88,0,1,243,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BAMS,7,0,Ayurveda,100,1,0,0,0,1,0,1,0,0,0,0,0,Ghatkopar West,Mumbai,0,0,0,218,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"MBBS, MD - Internal Medicine",37,0,General Medicine,100,2,0,0,0,0,1,0,1,0,0,0,0,Chembur East,Mumbai,0,0,0,122,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
BDS,4,100,Dentist,200,1,0,1,0,0,0,0,0,0,0,0,0,Thoraipakkam,Chennai,0,0,1,840,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BHMS,9,0,Homeopath,200,1,0,0,1,0,0,1,0,0,0,0,0,Velachery,Chennai,0,0,0,885,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MD - Dermatology,6,0,Dermatologists,300,1,0,0,0,0,0,0,1,0,0,0,0,Jhilmil Colony,Delhi,0,0,0,308,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"MBBS, MD - Dermatology , Venereology & Leprosy",3,0,Dermatologists,500,3,0,0,0,0,1,0,1,0,0,0,0,Indiranagar,Bangalore,0,0,1,271,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MD - General Medicine, MBBS",12,77,General Medicine,400,2,0,0,0,0,1,0,1,0,0,0,0,Manikonda,Hyderabad,8,0,1,485,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
MBBS,29,0,General Medicine,200,1,0,0,0,0,1,0,0,0,0,0,0,Shivaji Nagar,Bangalore,1,200,1,776,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MBBS, MD - Dermatology , Venereology & Leprosy, PG Diploma In Clinical Cosmetology (PGDCC)",8,88,Dermatologists,500,4,0,0,0,0,1,0,1,0,1,0,0,HSR Layout,Bangalore,0,0,1,244,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MBBS, MD - Dermatology, DDV",22,92,Dermatologists,100,3,0,0,0,0,1,0,1,0,1,0,0,Mazgaon,Mumbai,21,0,1,500,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"BDS, MDS - Periodontology and Oral Implantology",11,98,Dentist,100,2,0,1,0,0,0,1,1,1,0,0,0,Medavakkam,Chennai,55,0,1,501,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MBBS,0,100,General Medicine,100,1,0,0,0,0,1,0,0,0,0,0,0,Cuffe Parade,Mumbai,0,0,0,149,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"MBBS, MS - ENT, M C P S, Diploma in Otorhinolaryngology (DLO)",28,0,ENT Specialist,600,4,0,0,0,0,1,1,0,0,1,0,0,Malad West,Mumbai,0,0,0,471,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
BHMS,0,0,Homeopath,200,1,0,0,1,0,0,1,0,0,0,0,0,Vikas Puri,Delhi,0,0,0,901,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"MBBS, MD - General Medicine, Fellowship In Infectious Disease",22,0,General Medicine,100,3,0,0,0,0,1,0,1,0,0,0,0,Mulund West,Mumbai,0,0,1,531,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
BDS,15,99,Dentist,200,1,0,1,0,0,0,0,0,0,0,0,0,Versova,Mumbai,0,0,1,892,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
BDS,6,97,Dentist,200,1,0,1,0,0,0,0,0,0,0,0,0,Mehdipatnam,Hyderabad,0,0,0,504,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"MBBS, MD - Dermatology",7,63,Dermatologists,550,2,0,0,0,0,1,0,1,0,0,0,0,Malleswaram,Bangalore,6,0,1,476,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BDS, PhD - Orthodontics & Dentofacial Orthopaedics, Certificate of Oral Implantology",13,93,Dentist,100,3,0,1,0,0,0,0,0,0,0,1,0,Kolenchery,Ernakulam,0,0,1,391,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
BHMS,17,0,Homeopath,450,1,0,0,1,0,0,1,0,0,0,0,0,Tolichowki,Hyderabad,0,0,0,847,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"MBBS, DDV, M Derm",16,95,Dermatologists,500,3,0,0,0,0,1,0,1,0,1,0,0,Paschim Vihar,Delhi,15,0,1,624,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"MBBS, Diploma in Otorhinolaryngology (DLO)",43,90,ENT Specialist,300,2,0,0,0,0,1,0,0,0,1,0,0,Rajajinagar,Bangalore,5,0,1,681,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"MBBS, DDV",19,94,Dermatologists,600,2,0,0,0,0,1,0,0,0,1,0,0,Mayur Vihar Ph-I,Delhi,20,0,1,497,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
BAMS,19,100,Ayurveda,200,1,0,0,0,1,0,1,0,0,0,0,0,Jangpura,Delhi,7,0,1,294,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"BDS, MDS - Periodontology and Oral Implantology",20,92,Dentist,100,2,0,1,0,0,0,1,1,1,0,0,0,Thoraipakkam,Chennai,0,0,1,840,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MBBS, MS - ENT, DNB - ENT",25,93,ENT Specialist,900,3,0,0,0,0,1,1,0,0,1,0,0,Shalimar Bagh,Delhi,0,0,1,769,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
BDS,7,0,Dentist,100,1,0,1,0,0,0,0,0,0,0,0,0,Dadar,Mumbai,0,0,1,152,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"BHMS, MD - Homeopathy",16,0,Homeopath,500,2,0,0,1,0,0,1,1,0,0,0,0,Hazrat Nizamuddin,Delhi,0,0,0,253,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"MBBS, MD - General Medicine",17,72,General Medicine,250,2,0,0,0,0,1,0,1,0,0,0,0,Ecil,Hyderabad,0,0,1,190,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"BDS, MDS",42,0,Dentist,200,2,0,1,0,0,0,1,1,1,0,0,0,Coimbatore Racecourse,Coimbatore,0,0,0,144,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"DHMS (Diploma in Homeopathic Medicine and Surgery), FCAH (Fellow ship course in Advance Homoepath)",21,100,Homeopath,100,2,0,0,0,0,0,1,1,0,1,0,0,Kemps Corner,Mumbai,12,0,1,369,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"BDS, MDS - Oral & Maxillofacial Surgery",17,95,Dentist,500,2,0,1,0,0,0,1,1,1,0,0,0,Koramangala,Bangalore,0,0,1,398,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MD - Ayurveda Medicine, BAMS",7,0,Ayurveda,300,2,0,0,0,1,0,1,1,0,0,0,0,Himayat Nagar,Hyderabad,0,0,0,258,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
MBBS,49,0,General Medicine,300,1,0,0,0,0,1,0,0,0,0,0,0,Kaudiar Square,Thiruvananthapuram,0,0,0,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
BHMS,2,0,Homeopath,100,1,0,0,1,0,0,1,0,0,0,0,0,Andheri East,Mumbai,0,1000,1,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BHMS,22,0,Homeopath,500,1,0,0,1,0,0,1,0,0,0,0,0,Rohini,Delhi,0,0,0,705,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"MBBS, MD - Pulmonary Medicine",27,74,General Medicine,750,2,0,0,0,0,1,0,1,0,0,0,0,Old Airport Road,Bangalore,13,0,1,586,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MBBS, Diploma in Child Health (DCH)",39,0,General Medicine,150,2,0,0,0,0,1,0,0,0,1,0,0,Arumbakkam,Chennai,0,0,0,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BAMS, Certificate in Child Health (CCH)",20,0,Ayurveda,250,2,0,0,0,1,0,1,0,0,0,0,0,Borivali West,Mumbai,0,0,0,98,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
BDS,6,0,Dentist,100,1,0,1,0,0,0,0,0,0,0,0,0,Sarjapur Road,Bangalore,0,0,1,749,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Get inspired by remarkable stories of people like you,0,0,Dermatologists,100,1,1,0,0,0,0,0,0,0,0,0,0,Unknown,Unknown,0,100,0,860,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"MD - Ayurveda Medicine, BAMS",15,0,Ayurveda,500,2,0,0,0,1,0,1,1,0,0,0,0,Banjara Hills,Hyderabad,0,0,0,73,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"MBBS, MS - ENT, Diploma in Otorhinolaryngology (DLO)",39,0,ENT Specialist,100,3,0,0,0,0,1,1,0,0,1,0,0,Chamarajpet,Bangalore,0,0,0,107,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"BHMS, DHMS (Diploma in Homeopathic Medicine and Surgery)",17,0,Homeopath,400,2,0,0,1,0,0,1,1,0,1,0,0,Versova,Mumbai,0,0,0,892,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BHMS,12,0,Homeopath,50,1,0,0,1,0,0,1,0,0,0,0,0,Kurla West,Mumbai,0,0,0,430,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"MBBS, DDVL",7,100,Dermatologists,300,2,0,0,0,0,1,0,0,0,1,0,0,Suchitra Circle,Hyderabad,15,0,1,803,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"BHMS, BPTh/BPT, MSc - Psychotherapy And Counselling",22,0,Homeopath,200,3,0,0,1,0,0,1,0,0,0,0,0,Tambaram West,Chennai,0,0,0,824,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MBBS,52,0,General Medicine,250,1,0,0,0,0,1,0,0,0,0,0,0,Santacruz West,Mumbai,0,0,0,744,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - Otorhinolaryngology",41,88,ENT Specialist,100,3,0,0,0,0,1,1,0,0,1,0,0,Old Rajendra Nagar,Delhi,10,0,1,589,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",39,99,Dentist,300,2,0,1,0,0,0,1,1,1,0,0,0,T Nagar,Chennai,83,0,1,814,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BHMS, PGNAHI, DNHE, CSD",7,100,Homeopath,200,4,0,0,1,0,0,1,0,0,0,0,0,Kondapur,Hyderabad,11,0,1,394,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"MSc, MD - Alternate Medicine, DHMS (Diploma in Homeopathic Medicine and Surgery)",31,0,Homeopath,600,3,0,0,0,0,0,1,1,0,1,0,0,Khar West,Mumbai,3,600,1,377,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"DHMS (Diploma in Homeopathic Medicine and Surgery), Diploma In Naturopathy (ND)",16,100,Homeopath,800,2,0,0,0,0,0,1,1,0,1,0,0,Rajajinagar,Bangalore,14,0,1,681,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MBBS,14,0,General Medicine,50,1,0,0,0,0,1,0,0,0,0,0,0,Banashankari 3rd Stage,Bangalore,0,0,0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MBBS, MD - Dermatology",9,79,Dermatologists,500,2,0,0,0,0,1,0,1,0,0,0,0,Kukatpally,Hyderabad,0,0,1,420,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"MS - ENT, DNB - ENT, MBBS",16,86,ENT Specialist,100,3,0,0,0,0,1,1,0,0,1,0,0,Saket,Delhi,0,0,1,734,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"MBBS, MD - General Medicine",16,60,General Medicine,350,2,0,0,0,0,1,0,1,0,0,0,0,Madhapur,Hyderabad,6,0,1,454,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"MBBS, DDVL, Fellowship in Pediatric Dermatology",8,97,Dermatologists,500,3,0,0,0,0,1,0,0,0,1,0,0,Koramangala,Bangalore,26,0,1,398,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MBBS, PG in Diabetology",27,0,General Medicine,200,2,0,0,0,0,1,0,0,0,0,0,0,Perungudi,Chennai,0,0,0,645,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BHMS,12,0,Homeopath,500,1,0,0,1,0,0,1,0,0,0,0,0,Cherai,Ernakulam,0,0,0,123,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT",19,93,ENT Specialist,400,3,0,0,0,0,1,0,0,0,1,0,0,Yeshwanthpur,Bangalore,15,0,1,935,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"MBBS, MD - General Medicine",22,0,General Medicine,600,2,0,0,0,0,1,0,1,0,0,0,0,Shahdara,Delhi,0,0,0,764,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
BHMS,3,0,Homeopath,100,1,0,0,1,0,0,1,0,0,0,0,0,Chembur,Mumbai,0,0,1,121,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"BDS, MDS - Oral & Maxillofacial Surgery",24,0,Dentist,100,2,0,1,0,0,0,1,1,1,0,0,0,R.S. Puram,Coimbatore,0,0,0,673,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
BAMS,8,0,Ayurveda,100,1,0,0,0,1,0,1,0,0,0,0,0,Dwarka,Delhi,0,0,0,176,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"MBBS, DNB, DDV, FCPS Skin & VD",12,100,Dermatologists,800,4,0,0,0,0,1,0,0,0,1,0,0,Bhandup West,Mumbai,3,0,1,87,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"BAMS, M. D. IN KAYACHIKISTA, PhD- Ayurveda",15,100,Ayurveda,350,3,0,0,0,1,0,1,0,0,0,1,0,Vijayanagar,Bangalore,36,0,1,897,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"MBBS, Diploma in Psychiatry",15,0,General Medicine,550,2,0,0,0,0,1,0,0,0,1,0,0,Frazer Town,Bangalore,0,0,0,206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Diploma in Otorhinolaryngology (DLO),4,0,ENT Specialist,400,1,0,0,0,0,0,0,0,0,1,0,0,Mira-Bhayandar Road,Mumbai,0,0,0,510,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"MBBS, DDV",31,0,Dermatologists,400,2,0,0,0,0,1,0,0,0,1,0,0,Ram Nagar,Delhi,0,0,0,686,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"BAMS, Diploma in Panchkarma Chikitsa",14,0,Ayurveda,100,2,0,0,0,1,0,1,0,0,1,0,0,Kothapet,Hyderabad,0,0,0,410,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"BAMS, MD - Ayurveda Medicine",7,0,Ayurveda,300,2,0,0,0,1,0,1,1,0,0,0,0,Ghatkopar East,Mumbai,0,0,0,217,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"MBBS, MS - ENT, DNB - ENT",13,0,ENT Specialist,600,3,0,0,0,0,1,1,0,0,1,0,0,Rohini,Delhi,0,0,0,705,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"BDS, PhD - Orthodontics & Dentofacial Orthopaedics",11,0,Dentist,100,2,0,1,0,0,0,0,0,0,0,1,0,Attapur,Hyderabad,0,0,1,42,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"MBBS, MD - Dermatology, DDV",10,97,Dermatologists,700,3,0,0,0,0,1,0,1,0,1,0,0,Parel,Mumbai,19,0,1,621,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fellowship and Diplomate in Implantology from ICOI (USA), BDS",9,98,Dentist,300,2,0,1,0,0,0,0,0,0,1,0,0,Thanisandra,Bangalore,0,0,1,831,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BDS,24,0,Dentist,100,1,0,1,0,0,0,0,0,0,0,0,0,Prabhadevi,Mumbai,0,1000,1,661,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
MS - ENT,34,0,ENT Specialist,100,1,0,0,0,0,0,1,0,0,0,0,0,Saket,Delhi,0,1350,1,734,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"MD - Dermatology , Venereology & Leprosy, MBBS",13,94,Dermatologists,300,3,0,0,0,0,1,0,1,0,0,0,0,Pragathi Nagar,Hyderabad,0,0,1,662,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"BDS, MDS - Orthodontics",11,96,Dentist,100,2,0,1,0,0,0,1,1,1,0,0,0,Vileparle East,Mumbai,0,0,1,908,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
MBBS,35,0,General Medicine,600,1,0,0,0,0,1,0,0,0,0,0,0,KPHB,Hyderabad,0,0,0,315,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
BDS,5,94,Dentist,200,1,0,1,0,0,0,0,0,0,0,0,0,Banashankari 3rd Stage,Bangalore,0,0,1,67,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BDS,2,0,Dentist,200,1,0,1,0,0,0,0,0,0,0,0,0,Edapally,Ernakulam,0,0,0,192,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"BDS, MDS - Oral & Maxillofacial Surgery",9,0,Dentist,100,2,0,1,0,0,0,1,1,1,0,0,0,Andheri West,Mumbai,0,0,1,29,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
BHMS,23,0,Homeopath,300,1,0,0,1,0,0,1,0,0,0,0,0,Mayur Vihar Ph-I,Delhi,0,0,0,497,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"MDS - Periodontics, BDS",19,100,Dentist,100,2,0,1,0,0,0,1,1,1,0,0,0,T Nagar,Chennai,0,0,1,814,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DHMS (Diploma in Homeopathic Medicine and Surgery),47,80,Homeopath,400,1,0,0,0,0,0,1,1,0,1,0,0,Gachibowli,Hyderabad,2,0,1,208,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"BHMS, MD - Homeopathy",21,100,Homeopath,300,2,0,0,1,0,0,1,1,0,0,0,0,Karamana,Thiruvananthapuram,12,0,1,350,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"MBBS, MS - General Surgery, MCh - Plastic Surgery, Diploma in Dermatology",26,94,Dermatologists,700,4,0,0,0,0,1,1,0,0,1,0,0,Mira Road,Mumbai,80,0,1,509,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"BDS, MDS - Paedodontics And Preventive Dentistry",9,95,Dentist,500,2,0,1,0,0,0,1,1,1,0,0,0,AECS Layout,Bangalore,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",19,96,Dentist,100,2,0,1,0,0,0,1,1,1,0,0,0,Vyttila,Ernakulam,22,0,1,918,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"BDS, MDS - Orthodontics, Fellowship in Cleft Lip & Palate",10,100,Dentist,500,3,0,1,0,0,0,1,1,1,0,0,0,Nizamuddin East,Delhi,0,0,1,582,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"MBBS, DDVL",4,95,Dermatologists,500,2,0,0,0,0,1,0,0,0,1,0,0,Indiranagar,Bangalore,0,0,1,271,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BHMS,8,0,Homeopath,200,1,0,0,1,0,0,1,0,0,0,0,0,Arekere,Bangalore,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"BDS, MDS - Conservative Dentistry & Endodontics",10,98,Dentist,500,2,0,1,0,0,0,1,1,1,0,0,0,Ghatkopar East,Mumbai,0,0,1,217,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
BAMS,25,0,Ayurveda,50,1,0,0,0,1,0,1,0,0,0,0,0,Goregaon West,Mumbai,0,0,0,225,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"BAMS, MD - Ayurveda Medicine",9,100,Ayurveda,300,2,0,0,0,1,0,1,1,0,0,0,0,Yelahanka,Bangalore,1,0,1,931,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"MBBS, MD - Diabetology",14,0,General Medicine,300,2,0,0,0,0,1,0,1,0,0,0,0,Goregaon West,Mumbai,0,0,0,225,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
MBBS,17,0,General Medicine,200,1,0,0,0,0,1,0,0,0,0,0,0,Yamuna Vihar,Delhi,0,0,0,930,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
BHMS,26,98,Homeopath,200,1,0,0,1,0,0,1,0,0,0,0,0,Trimulgherry,Hyderabad,31,0,1,850,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"BDS, MDS - Oral & Maxillofacial Surgery, Certificate of Oral Implantology",17,98,Dentist,150,3,0,1,0,0,0,1,1,1,0,0,0,Ramanathapuram,Coimbatore,1,0,1,691,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"MBBS, MS - General Surgery, DNB, Fellowship in Minimal Access Surgery",14,0,General Medicine,300,4,0,0,0,0,1,1,0,0,1,0,0,Kaudiar Square,Thiruvananthapuram,0,0,0,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"GCEH, Certificate in Child Health (CCH)",31,0,Homeopath,100,2,0,0,0,0,0,0,0,0,0,0,1,Bhandup West,Mumbai,0,0,0,87,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"MBBS, DDVL",7,93,Dermatologists,400,2,0,0,0,0,1,0,0,0,1,0,0,Kundalahalli,Bangalore,12,0,1,424,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BHMS,13,0,Homeopath,150,1,0,0,1,0,0,1,0,0,0,0,0,Kondli,Delhi,0,0,0,395,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"DNB - Otorhinolaryngology, MBBS",7,100,ENT Specialist,500,2,0,0,0,0,1,0,0,0,1,0,0,Patel Nagar West,Delhi,10,0,1,628,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
